,Time_tweeted,User,Tweet
81,2022-06-06 19:22:59+00:00,BurtskiHD,Finally watched the woman’s triple threat from #HIAC and what a banger! 🔥
82,2022-06-06 19:22:48+00:00,ChewyLewis76,WWE has the best make up artists. #HIAC
83,2022-06-06 19:22:07+00:00,RT7LP,#HIAC #wwe #wwe2k #HellInACell Review https://t.co/0Nvmvdu0gJ
84,2022-06-06 19:22:00+00:00,LamboVanGogh,Holy Shit Cody &amp; Seth put on a Banger fr 🤌🏾#HIAC
85,2022-06-06 19:21:35+00:00,HalfPartTimer,The WWE doctor. #hiac https://t.co/XSYMzE43gk
86,2022-06-06 19:20:55+00:00,Chrisfrom3TFM,"Tough break for @CodyRhodes if rumours his pectoral tear means he’ll miss 6 months of action, but kudos to The American Nightmare for pushing through the pain barrier, competing and winning at #HIAC last night."
87,2022-06-06 19:20:43+00:00,Uncensored_WWE,"Cody Rhodes gave a short speech after Hell In A Cell.

Cody says he’s in pain so he’ll keep it short and save the rest for RAW. 

“Nobody convinced me to compete with a torn pectoral. It was 100% my decision. 10 times out 10 I would make that choice. I LOVE YOU Chicago!

#HIAC https://t.co/By8ENPeFTw"
88,2022-06-06 19:20:27+00:00,Sabweiner,Can we talk about how safe and trusted Seth Rollins is as a wrestler for all participating parties to allow this to go ahead #HIAC
89,2022-06-06 19:20:23+00:00,franktardashian,Catching up on #HIAC
90,2022-06-06 19:18:48+00:00,SoloFutureGoat,"Couple of things I'm hoping to see, or not see tonight on Raw. 
Bobby moving on from Omos
Somehow ending this Ezekiel thing
No Cody
Roman fighting someone before the Clash at the Castle
#WWERaw #HIAC"
91,2022-06-06 19:18:42+00:00,Sabweiner,"Cody Rhodes' injury is so fucking gruesome, oh my god #HIAC"
92,2022-06-06 19:18:42+00:00,jakes_takes03,"All the ""Midcard Cody"" people are just making themselves look dumb at this point.

#WWE #HIAC #HellInACell #wrestling"
93,2022-06-06 19:18:23+00:00,BadWWEStats,"It was fantastic to see Becky Lynch giving a subtle nod to Mantaur with her eye make-up.

#HellInACell #HIAC #WWE https://t.co/oNpAe7mYLt"
94,2022-06-06 19:18:02+00:00,HulstonStylist,"We are rightfully giving props to Cody for his #HIAC performance, but we also need to highlight Rollins. The trust the company, and his peers, must have in him to safely wrestle someone in Cody's condition must be through the roof. Hell of a wrestler."
95,2022-06-06 19:17:42+00:00,ManyFacedHeel,"Live experience thread - Photos &amp; Vids from Hell in a cell #WWEHIAC #HIAC 

My phone was low on battery so I didn’t tweet last night nor on the 3 hour + drive home 😂

But I wanted to share more than just the one Cody Rhodes video 

#Thread #WWE 
Keep scrolling 👇🏻 https://t.co/qSdGpK998l"
96,2022-06-06 19:17:02+00:00,TheEveryDayFan2,https://t.co/NUhNrJy6ou @writerchaos gives us the preview of what we should see on #WWERaw tonight after #HIAC
97,2022-06-06 19:16:55+00:00,DMartinV,#WWE #HIAC #SethRollins gets the polka dots over very well https://t.co/DI8QBonK2z
98,2022-06-06 19:16:36+00:00,che1717,"#HIAC instant reaction, really good.

For a show that was missing some big hitters, they knocked it out the park.

Special mention for Cody. What a fucking badass 👏"
99,2022-06-06 19:16:34+00:00,SethRollinsFans,It's #WWERaw night! So after #HIAC what do you think is next for Seth? #SethRollins #SFNR #ROLLINSFOREVER #TeamRollins https://t.co/K2UP2o797V
100,2022-06-06 19:16:20+00:00,PWStream,#CodyRhodes Called Out For Possibly Faking #WWE #HellInACell Injury - #HIAC https://t.co/pwL7nnRmgW
