,Time_tweeted,User,Tweet
21,2022-06-06 19:23:23+00:00,joreilly,Swift Charts - new SwiftUI framework. Looks really nice #WWDC22  https://t.co/SxTFJ2WGPS
22,2022-06-06 19:23:20+00:00,rakeshlobster,I charged 75 cents for a parking meter to Apple Pay last week. I wonder if I’ll be able to pay that in installments when Apple Pay Later launches.
23,2022-06-06 19:23:20+00:00,redrichroses,Hate how socials and tech makes it so easy to be sneaky and lie these days. Liars and manipulators gonna love this smh. U can delete shit off ur own phone to cover ur tracks but now u can unsend it so nobody can snitch on u or expose ur abusive ways? Great move apple https://t.co/1Y6ZggfeJg
24,2022-06-06 19:23:18+00:00,OptionsProOI,"$NWL company #profile, #Fundamental and #Technical Analysis Score Update (FA Score, TA Score) #stocks #stock #StockMarket #Investment #investing #invest #investor #investors https://t.co/IWZSYMAia0 https://t.co/o0nklGCsYv"
25,2022-06-06 19:23:18+00:00,MichaelTant3,Apple's soft pivot from primarily hardware products to software services has been a masterpclass and will be written about for a long time IMO.
26,2022-06-06 19:23:18+00:00,HoranyTaban,"Apple’s U1 Chip, Android Boost UWB Tech That Lets Your Phone Unlock Your Car https://t.co/AoJzCVSKI9"
27,2022-06-06 19:23:18+00:00,thedcp1006,A classic  https://t.co/MAgDaXg7i9
28,2022-06-06 19:23:18+00:00,antonio07341176,3 months left for my Apple Card upgrade limited. 🥹 https://t.co/K85XhoSTzA
29,2022-06-06 19:23:17+00:00,davrossbain,How Apple AirTags are being used by criminals https://t.co/3QOEun9dSY via @YouTube
30,2022-06-06 19:23:17+00:00,lizetteolmos,Matthew McConaughey: There's a difference between gun control and gun responsibility - USA TODAY https://t.co/ghLrt79Inb
31,2022-06-06 19:23:17+00:00,theSLinford,Working PT as a bank teller for the last year of my degree left me feeling dirtier than when I literally moved bags of fertilizer earlier that year.  https://t.co/d6bYoiXH2S
32,2022-06-06 19:23:16+00:00,JustHaitian,I wish T-Mobile or apple has an unsend text feature cus y’all be screenshotting like crazy
33,2022-06-06 19:23:13+00:00,chris_zilo,The continuity camera feels like Apple saying “we can’t put a very high quality camera in a laptop”
34,2022-06-06 19:23:13+00:00,metalTalent,#REVOLUTIONXRADIO The Other Side by Motion Device Wide Awake https://t.co/nDZGPB1BMK
35,2022-06-06 19:23:13+00:00,_oyindaa,This song might’ve replaced Tungba in my books🫢 https://t.co/kGOFP5EEeh
36,2022-06-06 19:23:12+00:00,Muhabarishaji,"Factbox – Apple Unveils New Chip, MacBooks, Car Software https://t.co/HQDiHUAeDD"
37,2022-06-06 19:23:12+00:00,bcsn_official,WWDC 2022: Apple's Safety Check aims to help people in abusive relationships https://t.co/pDQ3NXuuPv #tech #techiewomen #technology
38,2022-06-06 19:23:11+00:00,nasser__mo3gza,Apple brings ‘undo send’ to iMessage - TechCrunch https://t.co/VHMaelHvRQ [ via @googlenews ] https://t.co/8KMtqZaq0S
39,2022-06-06 19:23:11+00:00,StableInvestor,"Just what everyone (already in debt) needed.

Apple's own version of BNPL - the ""Pay Later"" 

#AppleEvent #WWDC22"
40,2022-06-06 19:23:09+00:00,p357,Looking for apple’s #carplay announcement and that hashtag brings up some non-apple shit lol
