,Time_tweeted,User,Tweet
1,2022-06-21 16:51:33+00:00,kiingxtevin,It’s me keep checking Beyoncé bio for another update. https://t.co/xoysPfcA3W
2,2022-06-21 16:51:31+00:00,_jahdaye,Beyoncé savings fund for the tour i effect now. I’m tryna see the sweat dripping off her face.
3,2022-06-21 16:51:30+00:00,shamroctmoney,That new Beyoncé is a lot.
4,2022-06-21 16:51:29+00:00,e4elitejd,Beyoncé got me tired and hot asl twerking and twirling 🥵🔥yes mam!!!
5,2022-06-21 16:51:28+00:00,iBallGenuine,"Beyoncé told me to release y’all, so lemme go start a new life."
6,2022-06-21 16:51:27+00:00,ViiGold,when beyoncé said “quit your job” and my system access was denied this morning 😳
7,2022-06-21 16:51:23+00:00,sirfitzx,You beyonce haters love to compare just to look stupid https://t.co/xrCbtRZgUb
8,2022-06-21 16:51:22+00:00,jasmynej14,beyoncé was right i did sleep good last night
9,2022-06-21 16:51:22+00:00,Jorgerosalescl,¡Release the Time! #Beyoncé https://t.co/QVIkaGk23h
10,2022-06-21 16:51:21+00:00,_PYB27,"Wow, I got new Beyoncé and Chris Brown x Normani video 😌"
11,2022-06-21 16:51:20+00:00,SailasTemwa,"This new Beyoncé actually slaps. Classic house music vibes, I love it."
12,2022-06-21 16:51:20+00:00,sebastianxade,Beyonce has just enough bass in her voice to come across as very authoritative while still being extremely warm and sexy.
13,2022-06-21 16:51:15+00:00,aadrieee,Beyoncé said release your job and I might jus listen because these mfs hereeeee
14,2022-06-21 16:51:14+00:00,GRWNSIMBA,Beyoncé dropping new music on/leading in to summer solstice.
15,2022-06-21 16:51:14+00:00,ashleeonair,Me to any PD NOT playing this Beyoncé song today: https://t.co/8bTbYIMia5
16,2022-06-21 16:51:13+00:00,NasLeber,Beyoncé talking bout quitting her job like she ain’t been a star since a teen lmao
17,2022-06-21 16:51:12+00:00,gypsymag,Gracias Beyonce ❤️🧡💛💚💙💜🖤🤍🤎
18,2022-06-21 16:51:12+00:00,akeyahhhh,Beyoncé - Be With You 🖤
19,2022-06-21 16:51:12+00:00,loveashjay,"#NowPlaying ""BREAK MY SOUL"" by Beyoncé on @TIDAL 

 https://t.co/RD1Fggazjd"
20,2022-06-21 16:51:10+00:00,fishgillis,the Beyoncé single has me wishfully thinking that there’s a secret Rihanna feature — prob won’t happen but if it does cremate me
