,Time_tweeted,User,Tweet
41,2022-06-06 19:23:23+00:00,instituteforgov,"As we wait for results of the vote of confidence in Boris Johnson, our explainer answers the key questions. 

Who has voted?

What happens if Boris Johnson wins?

What happens if Boris Johnson loses?

Could Boris Johnson face another vote if he wins?

https://t.co/HLnEnsAY9b"
42,2022-06-06 19:23:22+00:00,SueBongiovi,"“UK Prime Minister Boris Johnson faces a 'vote of confidence' in his leadership” 
https://t.co/QsBLtVckJ9

Well he’s proved he and his entourage don’t need to follow rules set forth by him for the population…like Trump using the WH for his political events."
43,2022-06-06 19:23:20+00:00,DangerHissy,I need people to stop saying that Boris Johnson was ever not going to go down in ignominy. Anyone who had done more than watched him for more than 3 seconds on any given episode of HIGNFY to see what kind of a man and what kind of a PM he is.
44,2022-06-06 19:23:18+00:00,melstarsg,"Boris Johnson walks into a party.

So why the long face? https://t.co/gOntJE9Nq5"
45,2022-06-06 19:23:17+00:00,Artists_Journey,"So Boris Johnson may br forced out for having a party during lockdown, but the @gop is good with this. https://t.co/YUA11WtwhP"
46,2022-06-06 19:23:11+00:00,HerreMorker,"I've no greater context for this, but it doesn't sound good.  
It sounds like Boris Johnson. https://t.co/1DvnVXL38o"
47,2022-06-06 19:23:08+00:00,SocialistVoice,"Boris Johnson's disastrous journey from election hero to confidence vote humiliation

Two and half years after he won a massive election landslide, he was forced to beg his own MPs to keep him in Downing Street

 https://t.co/B4XwKVbJzJ"
48,2022-06-06 19:23:08+00:00,hispri0rity,Can’t wait to know Boris Johnson’s fate.
49,2022-06-06 19:23:06+00:00,anna_prole,"So, has that flog Boris Johnson been booted yet?"
50,2022-06-06 19:23:05+00:00,alastair_d_reid,"Today, my MP @lucyfrazermp voted to keep Boris Johnson in power. I do not feel that this represents my views or those of her constituents and I hope that we will get a better MP come the next election.
  https://t.co/f17Zux0M5a"
51,2022-06-06 19:23:04+00:00,WashTimes,"Boris Johnson favored to survive Conservative Party revolt and keep job

https://t.co/CM2JycfTq3"
52,2022-06-06 19:23:00+00:00,__headspaceAI,"This probably isn't what you're looking for. But you see it, and thats the point. 
Thats &gt;always&lt; the point. Beware the Russian #Propaganda 

https://t.co/3P3WOKI83d 

MagSafe, Amy Coney Barrett, Safety Check, Boris Johnson
#crt #liberals #Antifa https://t.co/jSmjnyRRiA"
53,2022-06-06 19:23:00+00:00,Daily_Press,"British Prime Minister Boris Johnson will face a no-confidence vote Monday that could oust him from power, as discontent with his rule finally threatens to topple a politician who has often seemed invincible despite many scandals.
https://t.co/8cA0FtIy8D"
54,2022-06-06 19:22:59+00:00,DeviousDelius,"Alexander Boris de Pheffel Johnson saying “I can make it better” without showing a plan as to how he’s going to do it. Is like me saying “I’m off to the moon next week”, and everyone says “yeah, send us a postcard!”"
55,2022-06-06 19:22:54+00:00,sanjay_ahl,"If you care about Johnson’s dishonesty, don’t let Keir Starmer off the hook | Owen Jones https://t.co/8QGgACNJ0B"
56,2022-06-06 19:22:51+00:00,jimscottjourno,"2019 intake clearly not feeling united on their views this evening 

Bishop Auckland MP Dehenna Davison votes AGAINST Boris Johnson  

https://t.co/EW7VcgxRGz"
57,2022-06-06 19:22:49+00:00,WhatsYourViews,"Only candidate that's PM material I would vote for is @MPIainDS
Mature,Sensible,Detail person with experience in Government
The excoriating memo spreading like wildfire on Tory WhatsApp group that damned Boris Johnson https://t.co/Mio1XeuLu2
@Conservatives 
@DailyMailUK 
@GBNEWS"
58,2022-06-06 19:22:48+00:00,TomMitchelson,"Imagine being persuaded by Boris Johnson, during the 1922 committee, that he has a vision for the future. What kind of idiot is convinced by him - especially now? #Boris Johnson #Toryleadership #voteofnoconfidence"
59,2022-06-06 19:22:47+00:00,infonomicpk,"British PM Boris Johnson on Monday evening will face a punishing vote of no confidence by his fellow Conservative Party lawmakers, reflecting anger over lockdown breaking parties at Downing Street and overall discontent with his leadership, which one former ally branded a charade https://t.co/IUGzUber0p"
60,2022-06-06 19:22:43+00:00,El86562179,Boris Johnson no-confidence vote: prime minister’s future in balance as ballot closes – live https://t.co/XEtR5UIPjx
