,Time_tweeted,User,Tweet
21,2022-06-21 16:51:33+00:00,TheJetFiles,Oh yeah. It’s an oontz oontz summer baby. I won. https://t.co/XINaqUnGeK
22,2022-06-21 16:51:32+00:00,jacklborito,"You won't break my soul hdtpm!!!!!

#BreakMySoul https://t.co/iUO2dXHubU"
23,2022-06-21 16:51:32+00:00,leatinrights,YOU WON'T BREAK MY SOUL YOU WON'T BREAK MY SOUL https://t.co/504EIvtfqV
24,2022-06-21 16:51:27+00:00,Honeybeezyb,"Break my soul been on repeat all morning. I’m a dance til I’m sweaty type of gal, so this is my type of vibe! https://t.co/LgeD9guJ7q"
25,2022-06-21 16:51:26+00:00,oifucksakelou,Break my soul is for the ballroom girls I don’t make the rules
26,2022-06-21 16:51:26+00:00,montyposts,NOT Y’ALL TRYING TO BREAK MY SOUL
27,2022-06-21 16:51:21+00:00,lorraineknows,YOU WON’T BREAK MY SOUL🗣
28,2022-06-21 16:51:18+00:00,monlghtx,my friend better let me play this on her car tonight or else i’ll smash her idk i don’t have a car so a very important part of the automobile  https://t.co/TAD59MxoNh
29,2022-06-21 16:51:17+00:00,dayasbtch,break my soul is very addicting idk im loving it
30,2022-06-21 16:51:15+00:00,midnightvioiet,and when seulgi and chungha vogue to break my soul then what
31,2022-06-21 16:51:12+00:00,loveashjay,"#NowPlaying ""BREAK MY SOUL"" by Beyoncé on @TIDAL 

 https://t.co/RD1Fggazjd"
32,2022-06-21 16:51:12+00:00,dukecarterr,I changed my mind. I hear sum  https://t.co/fEfHDHyFC8
33,2022-06-21 16:51:11+00:00,TamiahChilds,yep yep yep  https://t.co/dkPm4iMZB0
34,2022-06-21 16:51:03+00:00,CookieLyric,In the #background on #repeat in the #office while I make this lil .84 cents on the #dollar #Beyonce #BreakMySoul 🙃🤑💅🤌🎧🎙 https://t.co/e2onWchwbJ
35,2022-06-21 16:51:02+00:00,ad3rayo,This break my soul track is so liberating
36,2022-06-21 16:51:02+00:00,INDICAZWRLD,no cause Beyoncé did a whole thing wit  break my soul!! now THAT is dance music!!!
37,2022-06-21 16:51:01+00:00,yourfavflavorr,You won’t break my soul
38,2022-06-21 16:51:01+00:00,SometimesKrista,You won't break my soul
39,2022-06-21 16:50:48+00:00,pamelaber3,so break my soul isn’t oontz oontz music?
40,2022-06-21 16:50:48+00:00,PopDataMusic,"""BREAK MY SOUL"" by @Beyonce has entered the Top 10 of the Apple Music US chart at #10(+3)."
