,Time_tweeted,User,Tweet
1,2022-06-21 09:01:49+00:00,xxKVPxx,Committees Comets Combined Colombia
2,2022-06-21 09:01:29+00:00,RoseGven,Colombia Committees Collectively Combined
3,2022-06-21 09:01:28+00:00,_oftoday_,"Gustavo Petro Promised to Transform Colombia as President. Can He Do It?  During his campaign, Gustavo Petro proposed major reforms if he was elected. After winning Sunday’s presidenti https://t.co/lJU5ubA35F https://t.co/hr6rS5DVI9"
4,2022-06-21 09:00:54+00:00,letto070,Communicating Commonly Colls Colombia
5,2022-06-21 09:00:51+00:00,Crypto_trader99,#CryptoNews: #Colombia's newly elected President supports #Bitcoin and Bitcoin #mining!
6,2022-06-21 09:00:50+00:00,Mesut_uzix5,Communicating Colombia Committees Colls
7,2022-06-21 09:00:45+00:00,Desevonne,Collectively Colosseum Colombia Communicating
8,2022-06-21 09:00:38+00:00,OTTOMAN55,Colour Comets Commonly Colombia
9,2022-06-21 09:00:36+00:00,elifkoak13,Colonies Commonly Colombia Committees
10,2022-06-21 09:00:31+00:00,SlayerDOGAN,Colombia Commonwealth Coloureds Communicating
11,2022-06-21 09:00:22+00:00,AnthonyAnya33,Wind of change is blowing #PeterObi2023 yesterday it was in Colombia 🇨🇴
12,2022-06-21 09:00:07+00:00,DiasporaEngager,"Gustavo Petro Wins the Election, Becoming Colombia’s First Leftist Leader. 
Photo credit: DiasporaEngager ... https://t.co/0a6TDdwsm0"
13,2022-06-21 09:00:06+00:00,DiasporaNews123,"Gustavo Petro Wins the Election, Becoming Colombia’s First Leftist Leader. 
Photo credit: DiasporaEngager ... https://t.co/l15Wtxj2cv"
14,2022-06-21 08:59:50+00:00,LazAltun,Commercial Commonly Committees Colombia
15,2022-06-21 08:59:30+00:00,gizemsever9,Colls Colonies Colombia Commonly
16,2022-06-21 08:59:29+00:00,velikarada1,Command Committees Colombia Colosseum
17,2022-06-21 08:59:08+00:00,kadir1001,Colosseum Communicating Commonwealth Colombia
18,2022-06-21 08:59:07+00:00,pnarmenzilci,Communicating Colleges Colombia Combined
19,2022-06-21 08:58:57+00:00,Ostrov_A,"Well, looks like @petrogustavo, the newly elected President of #Colombia, is a full-blown #antisemite.

https://t.co/qM4rjfrqnz"
20,2022-06-21 08:58:54+00:00,HayGlay,Commercial Colombia Collectively Commonwealth
