,Time_tweeted,User,Tweet
21,2022-06-21 09:02:01+00:00,Kyes501,"$BTC $ETH $DOGE $bnb  Best discord community so far with live LESSONS, ALERTS, CALL, update, market analysis and free trials join CT. https://t.co/KIKzOBeWz4 https://t.co/bnQi1prUhB"
22,2022-06-21 09:02:00+00:00,0xHokusai,"🟪NFT Use Case🟪
A private members only collective of 1,000 dedicated NFT collectors and artists! @proof_xyz
👑Benefits example
-Grails NFT: Privilege to mint one NFT by 20 artists
-Private Discord with NFT credentials
-Airdrops such as Moonbirds NFT
https://t.co/m9JpvpUb8G https://t.co/8wRJq1DUrf"
23,2022-06-21 09:01:59+00:00,JirenYLaFamilia,what mainly using discord over twitter does to a mf https://t.co/XQf6v7sYrD
24,2022-06-21 09:01:58+00:00,Anna53649319,"Join the most profits trading alerts chatroom&gt;https://t.co/XFqrV4VQ4l

$SPY $QQQ $NDX $DIA $IWM $NFLX $FB $INTC $SMH $AAPL $NVDA $TSLA $ES $YM $AMZN $BA $GS $JPM $NQU https://t.co/ajnluK0ZUS"
25,2022-06-21 09:01:54+00:00,Henrykently,$YGG  📈Don't miss the next move in a few hours.. https://t.co/SMsDOg5Vt1
26,2022-06-21 09:01:53+00:00,BiorIonan,"https://t.co/smyLlIq8jj
teen leaks 5 https://t.co/YKhMkxnAMk"
27,2022-06-21 09:01:48+00:00,BiorIonan,"https://t.co/smyLlIq8jj
teen leaks 5 https://t.co/PwoIrD1YNd"
28,2022-06-21 09:01:48+00:00,bottlebot1904,"tle, you're banned in the discord server because of hate speech based on your tle propaganda.

Volume: 488 gallons https://t.co/diV1MMvbj1"
29,2022-06-21 09:01:42+00:00,LNMarkets,"🥁 The future of gaming for finance is here 

LNM Discord Bot v2.0 is out 🔥

🆕 Slide in your DMs to navigate simple interfaces

/accounts: manage your profile
/futures: manage your portfolio
/tournaments: create &amp; join trading competitions

Join us!
🎮 https://t.co/xMiYp3IdNM https://t.co/eW2xLHRbZV"
30,2022-06-21 09:01:39+00:00,SHuskystudios,DISCORD BACK UP
31,2022-06-21 09:01:38+00:00,Henrykently,$zil  📈Don't miss the next move in a few hours.. https://t.co/SMsDOg5Vt1
32,2022-06-21 09:01:38+00:00,BiorIonan,"https://t.co/smyLlIq8jj
teen leaks 5"
33,2022-06-21 09:01:37+00:00,richiehawtin,THANKS to everyone who joined us last night on our @fromourminds Discord server for the AMA on my @Bitwig scripts and why I ❤️ BW so much! Hahaha :) seriously.  We’re leaving the chat up and some resources for all newcomers to BW.  Gonna post the voice AMA up too soon. https://t.co/3V5UhtLGzT
34,2022-06-21 09:01:31+00:00,Dilliat3,"Visit https://t.co/K2tUE4O1GF, where creative moments become history 💎

149 Dilliats Sold🏆

Buy at:  https://t.co/oITRwdhZpZ

https://t.co/kHwZeooVWJ

#cnft #ada #nftsales #cardano https://t.co/3xZ6iDPQIP"
35,2022-06-21 09:01:31+00:00,Kyes501,"$BTC $ETH $DOGE $eth  Best discord community so far with live LESSONS, ALERTS, CALL, update, market analysis and free trials join CT. https://t.co/KIKzOBeWz4 https://t.co/6KIzwYBwFb"
36,2022-06-21 09:01:29+00:00,Anna53649319,"$BBD $DAL $XLRE $CSCO $RF $T $AAPL $SAVE  $ET $GLD $IVR $IAU 

one of the largest stocks and options trading communities with real traders providing analysis.https://t.co/XFqrV4VQ4l https://t.co/21EIGC2qSI"
37,2022-06-21 09:01:25+00:00,Dilliat3,"Visit https://t.co/K2tUE4O1GF, where creative moments become history 💎

149 Dilliats Sold🏆

Buy at:  https://t.co/oITRwdhZpZ

https://t.co/kHwZeooVWJ

#cnft #ada #nftsales #cardano https://t.co/Od9qL0bmLI"
38,2022-06-21 09:01:17+00:00,SadiqEsdeeq,"Hi @0xPolygon wen integrating @Cyber_Rogues on your chain? 🤔will soon launch their #P2E Blockchain Game #CyberFighters
Check it out.
#cryptocurrency #GameFi #GamingNews #gamingcommunity #ETH

https://t.co/YJeqPao2W0 https://t.co/Qeuc55ycTd"
39,2022-06-21 09:01:12+00:00,DistinctRP,New Arcade in City https://t.co/9YpRncPbQs #FiveM #GTA #GTAV #roleplay #DisctinctRP https://t.co/OlYeP4u0rQ
40,2022-06-21 09:01:08+00:00,papauechan1,Half the internet died while you were sleeping. Here's what happened. https://t.co/UmTVz1bu9P https://t.co/Nu6SKyxyDG
