,Time_tweeted,User,Tweet
41,2022-06-21 09:02:03+00:00,SolomeBasuuta,"Yessss we are still celebrating Father's Day.😍

Prof. Paul Mugambi aka Prof, is the sweetest, loving man I know. 
Daddy thank you for being so present in my life and never giving up on seeing me thrive in this world....you are my Papa and my friend. I love You!🧡 #FathersDay https://t.co/8JiPDkxJXN"
42,2022-06-21 09:02:01+00:00,KayaON959,"""I was blessed to parent with you,"" Connie Ferguson wrote in a Father's Day message to her late husband. https://t.co/kC51iwx3NI"
43,2022-06-21 09:01:36+00:00,jkuatgavel,"""FATHER'S DAY"" with SAID SALIM as the TMOD.
Join us tomorrow for an exciting session at SCC 100 from 7PM EAT.
Listen, You cannot afford miss this!!!

#jkuatgavel #toastmasters #gavelclub #LeadershipDevelopment #publicspeaking https://t.co/BC5YQ4xaT0"
44,2022-06-21 09:01:36+00:00,amanda_cherrie,not even one podcast nigga tweeted happy father's day lols.
45,2022-06-21 09:01:32+00:00,RahmeTamar,Happy Father's Day https://t.co/pukIbJu5yT
46,2022-06-21 09:01:08+00:00,sunIytes,my cat didn’t get me anything for Father’s Day . Pain
47,2022-06-21 09:01:07+00:00,StigmabaseN,"TW :  Corrie's Katie McGlynn says cancer scene ‘messed her head up’ and asks fans to get checked...: ”It comes as Katie has teamed up with men’s health charity, Prostate Cancer UK, ahead of Father’s Day to raise awareness... To hear more about Katie’s… https://t.co/JR6V4I0eBS https://t.co/l4vDK3xHSN"
48,2022-06-21 09:00:55+00:00,anita_kay2019,"My first Father’s Day happened and passed without my dad…. Fuck that was harder than I thought that was gonna be. Cherish every moment with the people you love, even if the relationship wasn’t perfect you are gonna wish you had 5 more minutes with them"
49,2022-06-21 09:00:42+00:00,ucsbesteam,Happy Father’s Day! https://t.co/hAQwXqwhAT
50,2022-06-21 09:00:41+00:00,lazydaktar,So now father’s day is over I just wanna say it fills me with bitterness and sadness every year!!
51,2022-06-21 09:00:20+00:00,alwahahygiene,"We all want to know that somebody out there loves us, appreciates us, and cares for us. And dads are great at that. Happy Father's Day!
#FathersDay #fatherdaughter #FathersDay2022 #fathersdaysurprise #father https://t.co/106zskYOQA"
52,2022-06-21 09:00:18+00:00,MoniRiya3,Whitney Alford Tributes Kendrick Lamar on Father’s Day https://t.co/vvFAEzdHAr
53,2022-06-21 09:00:11+00:00,EjlElevators,"Happy Father's Day From EJL Team #fathersday

Make Sure To Follow Us On FB/Insta/IN/TWT/Tiktok/YTube @EJLelevators  

#lebanon #lebanese #happyfathersday #dad #trending #viral #digitalmarketing #marketing #socialmedia https://t.co/eZ08qipyds"
54,2022-06-21 09:00:08+00:00,sumankch,"Happy Father's day

 #FathersDay2022 #FathersDay #fathersdaysurprise https://t.co/Sh9cOMMA65"
55,2022-06-21 09:00:07+00:00,BenjaminEnfield,🚨🚨🚨Jennifer Lopez Shows Love For Ben Affleck In Father’s Day Tribute https://t.co/T2lRpJ2djS
56,2022-06-21 09:00:02+00:00,UNICEFLebanon,"Happy Father's Day! 💙
Playing with your child is priceless when it comes to bonding. Having fun together helps build your child's confidence while letting them know that they are loved and important.  #OnMyMind https://t.co/pKodGFdDUC"
57,2022-06-21 09:00:00+00:00,republic_glitz,"#DwayneJohnson gets 'best Father's Day gift ever' from daughters; 'Makes my heart melt'

https://t.co/TIPA0Ff5xm"
58,2022-06-21 08:59:57+00:00,ffilc123,Kayaking on the River Teifi on Father’s Day . https://t.co/CR3uuTvKux
59,2022-06-21 08:59:48+00:00,darealwop1,Lost unc and moe on Father’s Day
60,2022-06-21 08:59:36+00:00,teddysplayhouse,Father’s Day Giveaway - Win a Kaimana Frenzy Scooter worth £120 - The Frenchie Mummy https://t.co/FwW5aRsGwx #fathers
