,Time_tweeted,User,Tweet
4001,2022-05-25 20:31:38+00:00,1125FPS,Why do these people keep discussing guns as if it's a political issue that can be distilled down to right/left or conservative/liberal? https://t.co/dfZJXTdrvO
4002,2022-05-25 20:31:38+00:00,damosuzuki1,"this is a very good, sensible thread about guns. https://t.co/1VIX2aIeUr"
4003,2022-05-25 20:31:38+00:00,GeneJoseph6,"Biden demands gun control following Uvalde, Texas, elementary school shooting

https://t.co/M0zCwzQB86
Saying the problem is guns is like saying the fork is responsible for obesity. Biden is an incompetent idiot"
4004,2022-05-25 20:31:37+00:00,julesday_,There are more guns then people in the US and this is now a thing… https://t.co/oYqYqAF9sq
4005,2022-05-25 20:31:36+00:00,Pin1stripe,"I see the Divider in Chief is speaking about guns. 

Must be an election year. Or something bigger is being covered up."
4006,2022-05-25 20:31:35+00:00,CrimsonCHIN___,With the amount of illegal guns on the streets. How do you even implement gun control ?
4007,2022-05-25 20:31:35+00:00,SeanMichaelson4,"Acknowledge that guns are a driving factor behind school shootings or shut the fuck up about these events.

Don't waste our time with these nonsense justifications of the existing gun policies. And don't drop ""solutions"", if you dismiss the most obvious and workable solution."
4008,2022-05-25 20:31:35+00:00,Smh_hailey,"Sick to my stomach because there will never be a limit to this mass murder that will make these bigoted, egotistical, and plain stupid people realize that guns are and forever will be the issue. Kids, families, elders nothing!"
4009,2022-05-25 20:31:34+00:00,sooze555,"Doesn't the NRA ban guns at every conference? 
I've see ads for their AGM's before where it's been stated. https://t.co/h7V2WbSvMc"
4010,2022-05-25 20:31:34+00:00,86452020Vote,"At the very least, we should require proof of liability insurance with the purchase of guns. They would require, mental health proof, etc.. hell I had gastric bypass and insurance made me get phych eval first. #CommonSenseGunLawsNOW"
4011,2022-05-25 20:31:34+00:00,Innoculant1,"The NRA and it’s members actually DO get the importance of gun safety. How else can you explain that they won’t allow guns at their own fucking conference. It’s a fucking choice, and these people get that. Truly a ridiculous situation to be in😡😪🙏"
4012,2022-05-25 20:31:34+00:00,myskinisthin,Uh...what?!? https://t.co/r4x5hXaAZl
4013,2022-05-25 20:31:33+00:00,Chris_1791,"Uvalde Shooting Suspect Reportedly Bullied During Childhood, Had Nickname of 'School Shooter' https://t.co/fFHIRh5eGl via @newsmax"
4014,2022-05-25 20:31:33+00:00,davidhuey,"Even if we have guns, why would we have shootings in school? 
Every school is a gun free zone. https://t.co/o0qUdLj2Hq"
4015,2022-05-25 20:31:33+00:00,PLS4061,I’m done thinking and talking about guns and dead children and all of it my @SFGiants are absolutely going off right now ..gonna watch the game for awhile so if ya want to say to me  “guns are good” or “your a pussy” or “arm the teachers” let’s just save time ..screw you go away
4016,2022-05-25 20:31:32+00:00,sadie_sindone,“ARM TEACHERS” while the cops sat outside for 30-40 mins WITH their guns “waiting for backup”?????? just listening to gun shots take place inside an ELEMENTARY SCHOOL 👍🏻
4017,2022-05-25 20:31:31+00:00,threeboy,Has the USA considered fixing the problems with MORE guns?
4018,2022-05-25 20:31:31+00:00,Alain_M52,"And clearly USA, you don't have enough guns. https://t.co/7A51XlG3Dd https://t.co/QADttp0iwT"
4019,2022-05-25 20:31:29+00:00,Mina7815,"They need to believe common sense gun reform equates to confiscating their guns as an excuse to be violent. Cowards. All of them. 
Guess threatening the actual PRESIDENT is no longer a crime, or even frowned upon, and the “pro-life” party cares more about guns than kids. Got it. https://t.co/V1ZkEi82gc"
4020,2022-05-25 20:31:29+00:00,1luckyterry,Jo Biden along with the majority of Democrats think the second amendment rights exist so that we can hunt. Watch him as he makes the case for taking the guns from law abiding citizens but says nothing about the guns held by gang members in every city ran by Democrats. STUPID !!
4021,2022-05-25 20:31:28+00:00,dave_capper,Unlike @SenTedCruz who immediately went to his plan that WILL NOT work in Texas. Keep guns from felons who don't have to undergo so much as a background check in Texas. NO training. NO written test. And NO license. And Texas is a gun sanctuary so federal laws won't be enforced. https://t.co/sBN5vHkroD
4022,2022-05-25 20:31:28+00:00,OrenYaniv,"It is inaccurate to say that Republicans ""do nothing."" 

They actually do increase the proliferation of guns and actively facilitate the next shooting. https://t.co/JAEKzqM5IN"
4023,2022-05-25 20:31:27+00:00,Charlie_MaSheen,These shootings should mean that we all can be Gilbert Arenas n bring our guns to work. Because if theres an active shooter n we all strapped then that solves the problem quick.
