,Time_tweeted,User,Tweet
1,2022-06-06 19:23:20+00:00,schnucknetwork,Nigeria’s Sproutly is a virtual banking app for kids https://t.co/iYbf3DrGO7
2,2022-06-06 19:23:17+00:00,notanorther,"OPEN THREAD, A MUST READ: Plea of the Middle-belt region of Nigeria 

The middle belt of Nigeria consisting of Niger, Kwara Southern Kebbi, Southern Kaduna, Abuja, Kogi, Benue, Nassarawa, Plateau, Southern Bauchi, Taraba, Gombe, Adamawa, Southern Yobe &amp; Southern Borno https://t.co/MffcDXbTqg"
3,2022-06-06 19:23:17+00:00,Josh_ehiz,Please can someone please explain to me why Nigeria can’t be divided into Northern Nigeria and southern Nigeria?.. with valid points please
4,2022-06-06 19:23:16+00:00,Baba_Sheks,"Fuck APC, fuck PDP, fuck the government, fuck the terrorists, fuck media, fuck Nigeria, fuck you and fuck me too.
😤
#APCPresidentialPrimaries"
5,2022-06-06 19:23:08+00:00,adesina_diamond,"God bless Nigeria 🇳🇬. 

#BAT2023"
6,2022-06-06 19:23:08+00:00,NigeriaNewsdesk,Catholic diocese in Nigeria calls for ‘peace and tranquillity’ after gunmen kill at least 50 churchgoers https://t.co/bEfF8XJeLN via @todayng
7,2022-06-06 19:23:08+00:00,Kk_frontline,"A Patriot on a Rescue Mission To Save Nigeria.
Let's Join Hands With Him To Make Nigeria Work Again! https://t.co/GfAWByJNr4"
8,2022-06-06 19:23:08+00:00,fashionstyleng,"Boy On Life Support’s Brain Is Partially ‘Dead And Decaying’, Doctor Tells Judge Nigeria News – FashionStyleng https://t.co/5y69zVaQ51"
9,2022-06-06 19:22:59+00:00,BanglaViral,"Mass shooting at church in Nigeria leaves at least 50 dead, authorities say https://t.co/MfTVGWVTLo"
10,2022-06-06 19:22:55+00:00,ossywhyte,I need to see @PeterObi on international interviews so that he can tell the world and not just to Nigerians within the social media space alone. The 🌎 needs to know that he has all it takes to make a great change in Nigeria
11,2022-06-06 19:22:54+00:00,orikanfilameji,No gym in Nigeria has a seated leg curl machine. Shame shame shame lol. Need to supercharge these hamstrings
12,2022-06-06 19:22:52+00:00,ChronLaw,"Nigeria’s New Health Insurance Law Targets 83 Million Vulnerable Citizens – Bloomberg

ChronLaw Insurance Law News
at https://t.co/xtoulNYq86

#InsuranceLaw #news #law #attorney #lawyer"
13,2022-06-06 19:22:50+00:00,adeyiekpoh81,"This Nation has been come a dead zone
Why ooooooo Nigeria"
14,2022-06-06 19:22:48+00:00,coolsmug,In this Night Bukhari will let us know that the coup that brought him out is a coincidence that made us think he is saint that if he had completed the Government he would've been the worst regime ever in Nigeria History.
15,2022-06-06 19:22:47+00:00,NewspotN,"Nigeria needs affordable, sustainable energy resources – Minister
https://t.co/SGolLX8TUx"
16,2022-06-06 19:22:47+00:00,li9htbulb,"If we are really tired of all this rubbish going on in Nigeria, We can't have an Hausa or Fulani as president. We can't have APC or PDP as president.

Are we ready to stop the rubbish?"
17,2022-06-06 19:22:45+00:00,OkereAlvin,"Politicians Are after this party and that party. My party will win, their party will lose. Alright political moguls. We need a better Nigeria not a better political party."
18,2022-06-06 19:22:39+00:00,razzy_rascal,"Heart goes out to those affected and the community in Nigeria.
What kind of world do we live in? Slaying off our own kind and innocent children.

May the future be a change for our children 🙏🏽🙏🏽😭 https://t.co/zHU9yDDqiB"
19,2022-06-06 19:22:39+00:00,DoRtChristians,"At least 50 people were murdered in a church in Nigeria, an area where assault rifles are not legally permitted, and oddly enough, not a single call from Democrats/Marxist for ""gun control"", Trudeau implementing new restrictions, or Nigerians getting a lecture from New Zealand PM"
20,2022-06-06 19:22:29+00:00,mayzbeatdlegend,Our leaders driving us the way it pleases them while innocent people dying of crime they never commit 😪 🥵 Sad #Nigeria https://t.co/nXR3CvitL4
