,Time_tweeted,User,Tweet
2001,2022-05-25 20:31:14+00:00,RobinLynneKelly,"It is shameful that @GregAbbott_TX resorts to blowing all sorts of dog whistles about Chicago &amp; misleading on Illinois gun safety laws. Over 50% of guns used in crimes in Chicago come from out of state, including Texas. We need federal gun trafficking &amp; straw purchasing laws. https://t.co/IlVESjSms1"
2002,2022-05-25 20:31:14+00:00,LaJuneTabron,"Children can’t vote. 
But they are the ones that need protection. They are in our hands. We have to do what’s right for children. #OurSolidarity 

https://t.co/hJS98uwl6K"
2003,2022-05-25 20:31:13+00:00,ausflor,This man is a fucking disgrace to Texas and the fact he's out and about fundraising after a tragedy is disgusting https://t.co/10fFyDycpj
2004,2022-05-25 20:31:13+00:00,76Jeff,If you want to blame the gun for the shooting in Texas then why weren’t you trying to have assault vehicles removed after the guy in Wisconsin… he killed more with a suv than the dumb ass In Texas … not the weapon the hate!!! Stop the hate. Democrats miss that!
2005,2022-05-25 20:31:13+00:00,KWSInab,UPDATED Warnings have been issued for Texas.  #test https://t.co/hucaswj6gX
2006,2022-05-25 20:31:13+00:00,jonbolen,"4 of the 10 deadliest mass shootings in US history have occurred in Texas.  3 of those shootings (Sutherland Springs, El Paso and Uvalde) occurred while @GregAbbott_TX has been in office.  Uh, thanks Greg.  #GregAbbott"
2007,2022-05-25 20:31:12+00:00,BeachBum_N_SC,Beto O'Rourke interrupts Gov. Abbott's press conference on Texas shooting: 'This is on you!' https://t.co/XFNSEdxZaU
2008,2022-05-25 20:31:11+00:00,NBC10Boston,"Texas Gunman Warned of Shooting Grandmother, School in Private Facebook Messages https://t.co/Rq8AoeMoTa"
2009,2022-05-25 20:31:11+00:00,matin435,"Is Anyone looking for  Harry Styles tickets at Austin texas !!              

But scammers don’t waste your time trying to get  my proofs  proof   #harrystylestickets"
2010,2022-05-25 20:31:10+00:00,KTBBRadio,"Beto O'Rourke interrupts Texas governor's press conference on shooting https://t.co/JQqkhwXAS7 Vonderhaar/Getty Images(UVALDE, Texas) -- Former Rep. Beto O'Rourke, D-Texas, interrupted a press conference from Texas Gov. Greg Abbott about the Uvalde shooting Wednesday, shouting..."
