,Time_tweeted,User,Tweet
61,2022-06-06 19:23:23+00:00,TanishkMisra,"Ok so officially No iOS 16 for iPhone 7,7+ as well! https://t.co/J2JPurJ6St"
62,2022-06-06 19:23:16+00:00,directdmedia,"We are excited with all new features for Mac, iPhone, iPad and Watch. This is a quick recap about #WWDC22 https://t.co/POzRxBHXcr"
63,2022-06-06 19:23:13+00:00,KenanJMligo,A moment of silence for all who Buy IPhone 7 in recently months 🙌
64,2022-06-06 19:23:11+00:00,Bomlet_,Bruh wtf the iphone can rotobrush built in now??
65,2022-06-06 19:23:10+00:00,hoodrichMEAT,iphone update finna be deadly 🤣
66,2022-06-06 19:23:09+00:00,feedpushr,"macOS Ventura Can Use an iPhone as a Better Webcam
https://t.co/8vZ3IhU4vx"
67,2022-06-06 19:23:06+00:00,LaurentGiret,"iOS 16 will be quite a big update for iPhone users, and one of the biggest new features is the ability to personalize your lock screen https://t.co/MJDPAJmBHV https://t.co/LdC3enkrvi"
68,2022-06-06 19:23:04+00:00,biztocnews,"Apple offers new MacBook Air and MacBook Pro, software updates in WWDC keynote #iphone #appleinc #wwdc #macbookair #macbookpro #fintwit https://t.co/9igok0TCRr"
69,2022-06-06 19:23:02+00:00,aabidfaiyaz,"Farewell to the most beloved iPhone to have - The most underrated feature “ 3D Touch.”

iPhone 6S : 6 years later and My thoughts on iOS 15 | PoeticWhiz
https://t.co/m0B2ejYyBL"
70,2022-06-06 19:22:59+00:00,mohitsmovies,"#Apple  Continuity Camera now gives Mac customers the ability to use their iPhone as a webcam, and unlocks new capabilities that were never possible before on a webcam. With the power of Continuity, Mac can automatically recognize and use the camera on iPhone when it is nearby"
71,2022-06-06 19:22:58+00:00,itismedaphne,I really think the iPhone 8+ had the most superior iPhone camera
72,2022-06-06 19:22:53+00:00,patleenichols,"“uh we’re sorry Craig but we just can’t fix the cameras, if we could just attach an iPhone that’d work but it’d look-“ 
“I don’t care, just fuckin do it and design something cute but sleek”
“Bu-“
“Just.. ugh”
*craig walks off*
“at least they won’t show video or whatever of it” https://t.co/9MbCIcLO07"
73,2022-06-06 19:22:51+00:00,DealBeeDealsUSA,"️      ️

 TOCOL 2+2 Pack Compatible with iPhone 12 Pro Max, Not for iPhone 12 Pro 2 Pack Privacy

💰  Only 11.04 $  instead of 12.99 $  (- 15%) 
✅ Save 2,00 $ at Check-Out!
️ Requested Percentage: 58%
🕙 Deal ends at: 8:15 pm

🔎 https://t.co/KImnthfthZ"
74,2022-06-06 19:22:49+00:00,PattonKieran,installing the beta on my iphone SE 2
75,2022-06-06 19:22:42+00:00,avdinicola,"Shoutout to lawtube for the inspiration and information as the weeks went on.
Here is a video I thought might be interesting to some people!

How Amber Heard easily edited her TMZ video with an iPhone!

https://t.co/cjzlvkL87H

#amberheardvsjohnnydepp 
#AmberIsALiar 
#JohnnyDepp"
76,2022-06-06 19:22:35+00:00,TruvybeR,"Now Playing Carlyle feat.Kev - VIBING
TruVybe Radio  
https://t.co/MsHBDOhbnC
Download the  TruVybe Android App and IPhone App today!! #TruVybeRadio"
77,2022-06-06 19:22:31+00:00,TELEXDesignCo,If they made the display portion of the MacBook thicker then maybe they could stick an iPhone 12 sensor in there. Maybe. But I don't see them making the display thicker.
78,2022-06-06 19:22:27+00:00,PavelNosok,"Apple introduces Safety Check, an iPhone privacy feature for victims of domestic abuse: WWDC 2022 https://t.co/mecWh98CTA"
79,2022-06-06 19:22:27+00:00,PavelNosok,Apple’s Continuity Camera lets you use your iPhone as a webcam https://t.co/TnvXVSvQUS
80,2022-06-06 19:22:24+00:00,hybeesolid,"This is an advertisement for 🍏 Iphone
Pls tag @Apple https://t.co/UE2NFjalqd"
