,tweet_volume,Topic,URL
0,657347,Kendrick,http://twitter.com/search?q=Kendrick
1,363185,Israel,http://twitter.com/search?q=Israel
2,304740,NATO,http://twitter.com/search?q=NATO
3,228227,Rand Paul,http://twitter.com/search?q=%22Rand+Paul%22
4,212276,Friday the 13th,http://twitter.com/search?q=%22Friday+the+13th%22
5,208550,My Chemical Romance,http://twitter.com/search?q=%22My+Chemical+Romance%22
6,192163,Harden,http://twitter.com/search?q=Harden
7,143471,Finland,http://twitter.com/search?q=Finland
8,103759,Sixers,http://twitter.com/search?q=Sixers
9,93666,Game 7,http://twitter.com/search?q=%22Game+7%22
