,Time_tweeted,User,Tweet
1,2022-05-18 18:05:25+00:00,TachibanaSylphy,Check out this event in #GranblueFantasy! https://t.co/VaL2FDAvGA https://t.co/IaAXnBElUL
2,2022-05-18 18:05:25+00:00,TheGame_DC,"Swing by for the first game of the Western Conference Finals TONIGHT! Who’s going to show up more this series, Luca or Steph?

➡️Click to book a table: https://t.co/fBjjW4LdcE. https://t.co/hAmL6bj4oW"
3,2022-05-18 18:05:24+00:00,BlakeH_42,Game 1 tonight 😎#MFFL
4,2022-05-18 18:05:23+00:00,AdamsCumbie,His plans after a Golf ⛳ Game on Memorial Day at Mar-a-Lago! https://t.co/nDYlEdzjUf
5,2022-05-18 18:05:23+00:00,Broadwayhatpod,"🚨Gameday Giveaway🚨
Its Game 1 &amp; the comeback kids are back! Tonight a lucky follower will win this awesome Alexis Lafreniere rookie card if the Rangers win! All you have to do is like this tweet &amp; be following the account! 
Let’s Go Rangers!
#NYR #NoQuitInNY #Giveaway #thehobby https://t.co/7Y56zujQBO"
6,2022-05-18 18:05:22+00:00,myreactions__,"For anybody that cares, finished at rank 73 in Fantasy Bundesliga.
Sub-par last game week and season to be honest. 
Not too bad considering I was around rank 1k, ten weeks into the season. 
3 straight top 100 finishes now. 
Goal is to get back into the top 10 next season. https://t.co/qHlXzGpWvv"
7,2022-05-18 18:05:22+00:00,Sathish22122591,"Happy Expiry day for those who took positions for Expiry, SGX Nifty down 280 points. GAME OVER... https://t.co/AE72w7iHVK"
8,2022-05-18 18:05:22+00:00,PhishatMSG,"#tiph
5.18.97

#Phish sang the national anthem in Philly before game 2 of the Stanley Cup Playoffs between the  Flyers and the Rangers https://t.co/mjbrcKvrFt"
9,2022-05-18 18:05:21+00:00,cole_banker,"Two ways to think about last night:

1. #stlblues were completely dominated the whole game but still almost found a way to win, which bodes well for rest of series, OR

2. Binner played a near-perfect game and we still lost, #GoAvsGo missed several wide open nets to keep us in it"
10,2022-05-18 18:05:21+00:00,VinayNamith24,"What a thriller that was !!🥵
Heroic perfomances from Rinku singh and Narine to get KKR into to the winning way in the final stage,but the man Stoinis manages to get the game in favorable for LSG in the final over !💯
Best game of the season till date 🔥
#IPL2022 #KKRvLSG  #IPL https://t.co/YdW7DmTmFb"
11,2022-05-18 18:05:19+00:00,CoreyConsulting,"Do you want to boost your social media engagement? Fill out our Free Quote form to take the next step in improving your brand's social media game. Just click the link in bio to get started!

#marketing2022 #digital2022 #coreyconsulting #miamimarketing2022 https://t.co/V5MRi2wjcg"
12,2022-05-18 18:05:19+00:00,REALSportsMind,If you want to bet Dallas to win the series wait til after Game 1
13,2022-05-18 18:05:18+00:00,mavsfan0,I haven’t washed my Luka player T since April 17 😂🤷‍♂️ after the loss in game 1 vs Jazz. Since then we have been grinding away. Not getting washed till we OUT either ! #MFFL #dALLasIN
14,2022-05-18 18:05:14+00:00,PJHVerhoeven,"Mark Assaf @TrainForTrade @UNCTAD introduces the partnership with @WPSP_IAPH in rolling out #PortEndeavor , the world’s only sustainable development business game that helps ports implementing the @SDGoals #UNSDGs @PortofAntBruges @APEC_Training https://t.co/tkOSMXGaCW"
15,2022-05-18 18:05:14+00:00,janders77,"Game Day!

Who you got? 

#Oilers #BattleofAlberta #Flames #round2 #nhlplayoffs2022 https://t.co/8kmXpwg5VD"
16,2022-05-18 18:05:11+00:00,Monarchs803,Big game Cory has had a unbelievable season for @BaseballBLS 1 of the best pitchers in the Midlands. Anderson University got a good 1. https://t.co/n1vwPvuhi6
17,2022-05-18 18:05:11+00:00,Caped_Crus4der,Crazy how we never had a bad batman game https://t.co/pP45mpHCP6
18,2022-05-18 18:05:08+00:00,DatFox__,Furi is a great game. Play Furi. The DLC is pretty neat too. https://t.co/DJFRcaljmg
19,2022-05-18 18:05:08+00:00,DarkPoolAlgo,"Oh $SNAP, We $SPY something game changing, you are invited to join the FREE FlowTrade (lite) Community get a sneak peak inside and see how we work!

Join here!
https://t.co/QJczigt55F

@darkpoolcharts I bet you have some followers that would love to join.

#trading #Daytrade https://t.co/N32uf0GjpG"
20,2022-05-18 18:05:08+00:00,Feanorchronos,Check out this event in #GranblueFantasy! https://t.co/DAbvrx9LDj https://t.co/IDMKIAoHPb
21,2022-05-18 18:05:06+00:00,esports_stride,"Try coding in Minecraft: Education Edition by learning about the coding progression available learning conditionals, functions, coordinates, and more in block-based coding and JavaScript while exploring the coding curriculum.
REGISTER:
https://t.co/cd1t0LXQ6F https://t.co/QGAkSdPVyN"
22,2022-05-18 18:05:04+00:00,TheRemnantsNPC,"Female Remnants #847 just sold for 8.75 SOL ($445 USD) !

Transaction details: https://t.co/1Gr1Mb6qkB

Visit https://t.co/VDEoYwtkVi to get your own and start playing the game today! 🎮

LOOT LOOT⚔️

Powered by https://t.co/lijesSEHFj https://t.co/PhrbqzkGB9"
23,2022-05-18 18:05:04+00:00,ICEDistrictAuth,"The Ford Hall Playoff Store is OPEN! 

Come visit us from now until the end of the game tonight to get geared up for Game 1 of a HUGE Battle of Alberta Playoff Series!

We’re located next to the Rogers Place Box Office for all of your @EdmontonOilers playoff needs!

#LetsGoOilers https://t.co/haPtF3iGcf"
24,2022-05-18 18:05:03+00:00,Lee_Soda_eth,Since we’re talking about game of thrones. I’m obsessed. Lol. #posse @LuchyWayne @leora_okponwa @zJennyGirl @MummyBr https://t.co/JbE6Vm6f4s
25,2022-05-18 18:05:03+00:00,solgob_,"100 Thieves is making a video game.

Battle Royale where 100 thieves drop into a modern city. 

The object is to steal items/money from houses and banks. Then you have to extract via helicopter/foot/getaway cars without dying to the 100 police (also player controlled) https://t.co/u6YPIQbmOU"
26,2022-05-18 18:05:02+00:00,SalvoSoccer,"Congratulations to the 2008 Boys Navy for beating Alex Bunbury Soccer 3-2 in their first State Cup game! Keep up the great work, boys! #SalvoStrong https://t.co/gomw70vRvP"
27,2022-05-18 18:05:02+00:00,AHA_SOFTBALL,STARS Game Day!! The STARS (11-1) will look for their 8th straight victory this afternoon when they host Minneapolis South (2-8) in a non-conference game at Lincoln Field - 4:00 PM. There are no lower level games this afternoon. GO STARS!! https://t.co/zV19oKReeR
28,2022-05-18 18:05:00+00:00,SWOnTheRadio,"Coming up at 2 on #SOSonKGYM: 

#PlayoffCentral - as the #Heat take game 1 in the East + a look ahead to #Warriors/#Mavs tonight. 

The #NBADraft order is set - a look at the newest mock drafts 

Plus - #MLB news, and #CollectorsCorner!

Join me on @KGYMRadio! https://t.co/Kva43qAwpt"
29,2022-05-18 18:05:00+00:00,HotSauceBread,"Happy #indiedevhour 

This week we've been making skeleton #Assets for our game Haste

Check out our fleshed out demo:
https://t.co/V2AG401mc4

#Skeleton #Indie #Gamedev #Ottawa #Cardgame https://t.co/ZQdSnbCI4B"
30,2022-05-18 18:04:59+00:00,MarieBushell1,Brings back memories for me when Connor injured his knee in training in the academy and was out of football for about 4 months but game back stronger and got in the cup final and came 2nd healing 🙏and wishing you a speedy recovery Ezri Konsa 💜💙🦁 https://t.co/DSAVcTWxGb
31,2022-05-18 18:04:58+00:00,LilMoonLambo,"web3 game ads are the greatest thing on the internet

https://t.co/x0L2irGFIy"
32,2022-05-18 18:04:57+00:00,UKRedSoxFans,"#RedSox Lineup Game 3 vs Astros 
⏰11:10pm BST https://t.co/uqOpNBLQDd"
33,2022-05-18 18:04:56+00:00,PoruRoger,"I just won a cash prize by finishing third in the hourly game! You too can cash in real money instantly! In less than 10 Minutes you may win up to $10,000! on #PlayAndWinApp https://t.co/HAdP34fWRC https://t.co/9Hi0NMYXHX"
34,2022-05-18 18:04:56+00:00,mrjordilicious,"Tonight we're having a bit of a community night. We're playing the new stream party game @PwnkWorld with all of you. Will you survive the Pwnk Royale??

Come join in on the fun: https://t.co/q4Sz96QARs https://t.co/wdPYnUSTKi"
35,2022-05-18 18:04:55+00:00,CHOSENSERVANT3,TO ANY MAN WHO NEEDS A REMINDER (I FORGIVE YOU ALL.💯 I DIDN'T BEFORE BUT I DO NOW MORE THEN ANYTHING I WILL DO THIS IN THE LOVE OF CHRIST JESUS UNDERSTAND THO I WILL DO THIS IM DONE PLAYING GAME'S I WILL KEEP KNOCKING INTO A DOOR OPENS I WON'T STOP EVER💯 https://t.co/cFRXSXaH6w
36,2022-05-18 18:04:53+00:00,Catboyism,o fuckig love watching really old game show reruns bc you see shit like this https://t.co/mnPEjnOXTB
37,2022-05-18 18:04:52+00:00,yuansidol,i finally won a game of outlaster 😭😭😭 as i should 😋 https://t.co/OxWNXR8WsG
38,2022-05-18 18:04:50+00:00,juleeslc,"Love this mountain view. Aside from the screaming kids, it’s a great day for a ball game. https://t.co/YyIVFDsUDk"
39,2022-05-18 18:04:49+00:00,molesgaminghole,"Deeeer Simulator Japanese import price slashed to only £34.99

The game plays in english and comes complete with soundtrack.

£34.99
https://t.co/5VLlxh0zHk

#switchcorps  #nintendo #nintendoswitch #nintendoonline #nintendo64 #indie #import #gamer #gaming #gamergirl https://t.co/aLpKCDa4l4"
40,2022-05-18 18:04:46+00:00,AvsRobin,For you all complaining about Avs not closing Game 1 earlier. It won’t be fun to go 16-0 and win the cup winning every game comfortably. We need these OT winners to make these special memories.
41,2022-05-18 18:04:46+00:00,billyjohnston65,We beau looking good for the game https://t.co/egtkHUuLqj
42,2022-05-18 18:04:45+00:00,3dwonders,"80Level: A group of video game industry professionals created the new initiative @avatars_ukraine. The charity NFT collection features artworks from over 50 digital artists from both games and movie industries:

https://t.co/g4bmo3Fcyl

#art #design #uk… https://t.co/T0rYTydaua"
43,2022-05-18 18:04:44+00:00,_ImEricsistable,Who you got for game 1
44,2022-05-18 18:04:43+00:00,NCTheroes,"WHAT. A. GAME !!

HELLO PLAYOFF'S 🤞
#LSG are coming✅

 #KKRvLSG #TATAIPL https://t.co/nS9wsbH3TJ"
45,2022-05-18 18:04:39+00:00,videogamedeals,"News: Another Walmart+ Only Event is Coming June 2nd at 3PM ET. PS5 Page has the info, but might not be in the actual event.  https://t.co/Dv4dZi4mt6 https://t.co/OaebfMVhYI"
46,2022-05-18 18:04:38+00:00,LongstoneLPS,"And the amazing P6 football team are through to the next round of the Inspectors Cup! What a performance- came back from a draw and a defeat to win their final game 7-0! The teamwork and spirit was fantastic to see. Well done, team and coach Ritchie! 🌟 https://t.co/aHnQfg9bfk"
47,2022-05-18 18:04:36+00:00,IamsaurabhUP,"Being from UP have quite mixed feelings right now UP wala (Rinku Singh) almost snatched the game away from UP!
What a game we got see today..👀
#KKRvsLSG https://t.co/EOKuf2R7ve"
48,2022-05-18 18:04:33+00:00,itssivaspotu,"What a game 💥🤩
 https://t.co/Mm37wIH2t9"
49,2022-05-18 18:04:33+00:00,TJSportsUSA,#youtube Ime Udoka UPDATES Al Horford STATUS after Game 1 DEFEAT against Heat https://t.co/s3A8ajCwId
50,2022-05-18 18:04:33+00:00,MissFushiGaming,"[ LIVE ] 🔴 https://t.co/S8wnXnhSBX

Featuring: A SCARY GAME! The Closing Shift: Try not to die during my new part-time job! How will I do? will I cry? Maybe?!?

Tags: #theclosingshift #horror #vtuber #envtuber #VTuberUprising https://t.co/vxvfLQJsi1"
